2018-11-07T00:11:57.307202	18:31:bf:d9:c0:3d	UNKNOWN		-67
2018-11-07T00:11:57.864866	00:27:49:36:da:ea	UNKNOWN		-81
2018-11-07T00:12:00.476702	16:00:2e:33:fe:60	UNKNOWN		-65
2018-11-07T00:12:02.237497	0c:84:dc:0b:e7:45	Hon Hai Precision Ind. Co.,Ltd.	SmileLab92583	-85
2018-11-07T00:12:14.400546	00:27:49:36:da:ea	UNKNOWN		-85
2018-11-07T00:12:26.086989	18:31:bf:d9:c0:3d	UNKNOWN	TWNGBM	-55
2018-11-07T00:12:26.099515	18:31:bf:d9:c0:3d	UNKNOWN		-55
2018-11-07T00:12:34.239268	00:08:ca:33:66:1e	TwinHan Technology Co.,Ltd	SmileLab92583	-83
2018-11-07T00:12:40.901175	80:a5:89:52:c4:4f	AzureWave Technology Inc.	NCKUEE-802.1x	-89
2018-11-07T00:12:46.475522	3c:95:09:9a:08:e1	UNKNOWN		-87
2018-11-07T00:12:56.752952	84:c9:b2:d6:0e:69	D-Link International		-73
2018-11-07T00:13:00.048189	84:4b:f5:08:0c:a6	Hon Hai Precision Ind. Co.,Ltd.	unconfigured	-79
2018-11-07T00:13:24.891385	14:4f:8a:d5:5e:da	UNKNOWN		-81
2018-11-07T00:13:31.238536	84:4b:f5:08:0c:a6	Hon Hai Precision Ind. Co.,Ltd.	unconfigured	-85
2018-11-07T00:13:31.245442	84:4b:f5:08:0c:a6	Hon Hai Precision Ind. Co.,Ltd.	unconfigured	-83
2018-11-07T00:13:34.709251	e8:99:c4:bc:6d:e9	HTC Corporation	NCKUEE-B1-4F	-77
2018-11-07T00:13:41.618844	18:65:90:d6:a3:cd	Apple, Inc.		-87
2018-11-07T00:13:46.010046	18:31:bf:d9:c0:3d	UNKNOWN		-61
2018-11-07T00:13:46.019091	18:31:bf:d9:c0:3d	UNKNOWN	TWNGBM	-57
2018-11-07T00:13:46.039542	18:31:bf:d9:c0:3d	UNKNOWN	TWNGBM	-57
2018-11-07T00:13:56.094317	da:a1:19:dd:f3:bc	UNKNOWN		-91
2018-11-07T00:13:56.740169	84:c9:b2:d6:0e:69	D-Link International		-73
2018-11-07T00:13:56.902051	84:c9:b2:d6:0e:69	D-Link International		-73
2018-11-07T00:14:02.266226	84:4b:f5:08:0c:a6	Hon Hai Precision Ind. Co.,Ltd.	unconfigured	-81
2018-11-07T00:14:02.274182	84:4b:f5:08:0c:a6	Hon Hai Precision Ind. Co.,Ltd.	unconfigured	-79
2018-11-07T00:14:04.782406	d4:6d:6d:75:23:3f	UNKNOWN		-47
2018-11-07T00:14:15.499241	16:00:2e:33:fe:60	UNKNOWN		-65
2018-11-07T00:14:21.224809	58:40:4e:0e:50:cb	Apple, Inc.	GREEEEEEEEERC	-83
2018-11-07T00:14:21.303085	b8:27:eb:da:3f:04	Raspberry Pi Foundation		-83
2018-11-07T00:14:21.420545	b8:27:eb:da:3f:04	Raspberry Pi Foundation		-61
2018-11-07T00:14:26.771387	bc:e6:3f:0a:08:c2	Samsung Electronics Co.,Ltd	NCKU-WLAN	-89
2018-11-07T00:14:39.947552	bc:e6:3f:0a:08:c2	Samsung Electronics Co.,Ltd	NCKU-WLAN	-85
2018-11-07T00:14:39.964412	bc:e6:3f:0a:08:c2	Samsung Electronics Co.,Ltd	NCKU-WLAN	-87
